# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
05/10/2020,25867.1,25062.6,25428.6,,25161.1,25189.3,25668.3,22289.5,24913.4,25785.4,25319.8,25763.6,25750.5,26304.7,26180.2,26292.9,26070.2,25871,25400.6,25085.7,25184.6,25522.1,23258,21488.9,21763.3,600621.4
04/10/2020,23827.1,24522.9,24505.5,,24871.8,25465.5,25392.8,25486.5,25652.7,25510.4,27621.5,30415.9,33241.7,35180.1,36020,34834.4,32491.5,27682.9,25343.8,24000.2,23594.8,22800.2,22963,22962.6,23719.8,648107.6
03/10/2020,23202.7,23210.3,23417.9,,23999.8,23810.1,23637.6,23966.4,24235.5,24247.5,23795,24428.8,24207.2,24432.7,24910.7,24770.6,23975.6,23329.8,22736.2,22679.6,22621.2,22251.3,21379.1,20863.9,21169.8,561279.3
02/10/2020,19065.3,18890,19649.3,,19919.1,19248.4,19399.4,21526.2,23758.3,26318.9,26290.9,26050.2,26550.1,26757.9,26279.3,26191.6,25834.7,24826.5,25059.2,24553.7,24926,21847.9,21484,21754.5,22053.2,558234.6
01/10/2020,20296.9,21165.2,21180.9,,21165.7,21899.6,21867.4,21809.5,24015.4,24519,23752,23638.3,24205.1,25324,25427.2,24630.2,22910,21931.8,22393.2,23038.6,22646.7,22755,20798.7,19376.6,18439.2,539186.2
30/09/2020,18952,19292.8,19587.1,,18539.6,18510.9,18727.9,22425.3,26203.7,25862.4,25689.4,26737.3,26387.2,25959.4,25515.9,25949.6,26228.5,25432.8,24809.4,24076,23721.7,24341.8,22426.3,20627.8,19143.7,555148.5
29/09/2020,17114,16714,17222.7,,17130.4,17366.6,17239.3,20980.5,23331.2,22576.9,23285.5,23720.1,23803.7,24014.1,23425,23012.5,22847.3,23110.9,22609.9,22864,22997.2,23659.7,21211,20508.6,17826.5,508571.6
28/09/2020,17823.1,17955.6,18475.9,,18834.6,19174.1,19187.9,21424.1,23126.4,21972.5,23420.1,24663.5,25260.8,25665.7,25748.8,25497,23230.3,23382.5,23686,22157.8,22361.3,22892.1,21613.5,19084.9,18093.6,524732.1
27/09/2020,22246.9,22399.9,22615.3,,22347.5,22416.2,22184.4,21262.7,20979.3,20420.4,20569.3,21755.1,23502.4,23581.9,23416.8,22780.4,22678.4,22862.4,21501.2,20610.8,21448.2,20707.9,18382.3,18728.9,18094.2,517492.8
26/09/2020,20109.8,20252.4,20909.1,,21069.8,22141.3,21593.2,21472.2,20623.6,21040.9,21927,23038.8,23806.6,22743.3,22682.6,21820.8,21378.1,20989.2,20175.8,20685.8,20880.6,20471.3,19922.9,19713.8,19826.9,509275.8
25/09/2020,20600.2,21112.9,21225.8,,21921.4,21575.9,21587.8,22246.9,23624.7,23306.6,23997.1,24581.6,24303.8,23898.8,23768.2,25519.9,25825.2,25536.9,23770.4,22541.1,23457,22662.5,21235.1,19510.8,19256.1,547066.7
